adjmatrix_key,resp_status,age,religion,caste,speakother,kannada,tamil,telugu,hindi,urdu,english,educ,villagenative,workflag,savings,electioncard,rationcard,mothertongue_2,Y,Z
262,1,48,1,3,2,0,0,0,0,0,0,10,1,1,2,1,1,2,0,1
280,1,38,1,3,2,0,0,0,0,0,0,12,1,1,1,1,1,2,0,1
284,1,45,1,4,1,0,0,1,0,0,1,14,1,1,1,1,3,2,0,1
286,3,24,1,4,1,0,0,1,0,0,1,14,1,2,2,1,1,2,0,0
292,1,70,1,3,2,0,0,0,0,0,0,10,1,2,1,1,1,2,0,1
294,3,44,1,3,2,0,0,0,0,0,0,10,1,1,1,1,1,2,0,1
305,1,55,1,3,2,0,0,0,0,0,0,10,1,1,2,1,1,2,0,1
307,3,25,1,3,2,0,0,0,0,0,0,12,1,1,1,1,1,2,0,1
315,1,55,1,3,1,0,0,1,0,0,0,9,1,1,1,1,1,2,0,1
318,2,19,1,3,1,0,0,1,0,0,0,16,1,2,1,1,1,2,1,0
323,2,23,1,3,2,0,0,0,0,0,0,10,1,1,1,1,1,2,0,0
333,1,46,1,3,2,0,0,0,0,0,0,10,1,1,2,1,1,2,0,1
348,1,71,1,3,2,0,0,0,0,0,0,16,1,2,2,1,1,2,0,1
349,3,38,1,3,2,0,0,0,0,0,0,8,1,1,2,1,3,2,0,1
358,1,40,1,3,2,0,0,0,0,0,0,7,1,1,2,1,1,2,0,1
369,3,32,1,3,1,0,0,0,1,0,0,12,1,1,1,1,1,2,0,1
371,3,30,1,3,2,0,0,0,0,0,0,7,1,1,2,1,1,2,0,1
378,1,38,1,4,1,0,0,1,0,0,0,10,1,1,2,1,3,2,0,1
388,1,38,1,4,2,0,0,0,0,0,0,10,1,1,2,1,1,2,0,1
394,1,60,1,4,2,0,0,0,0,0,0,4,1,1,2,1,1,2,0,1
396,3,32,1,4,1,0,0,1,0,0,0,10,1,1,2,1,1,2,0,1
402,2,38,1,4,1,1,0,0,0,0,0,7,1,2,2,1,1,6,0,0
406,3,60,1,4,1,1,0,0,0,0,0,10,1,2,1,1,1,6,0,1
408,3,30,1,3,1,1,0,0,0,0,0,10,1,1,1,1,1,6,0,1
422,1,55,1,3,2,0,0,0,0,0,0,13,1,1,1,1,1,2,0,1
436,3,50,1,1,1,0,0,1,0,0,0,4,1,1,2,1,1,2,0,1
441,1,37,1,1,1,1,0,1,0,0,0,16,1,1,2,1,1,6,0,1
463,1,35,1,1,1,0,0,1,0,0,0,3,1,1,2,1,1,2,0,1
469,2,40,1,1,1,0,0,1,0,0,0,16,1,1,2,1,1,2,1,0
471,3,18,1,1,1,0,0,1,0,0,0,8,1,2,2,1,1,2,0,0
493,1,42,1,1,1,0,0,1,0,0,0,16,1,1,1,1,1,2,0,1
500,1,40,1,1,2,0,0,0,0,0,0,16,1,1,2,1,1,2,0,1
509,1,60,1,1,1,1,0,0,0,0,0,16,1,2,2,1,1,6,0,1
510,2,50,1,1,1,1,0,0,0,0,0,16,1,2,2,1,1,6,0,0
511,3,30,1,1,1,1,0,0,0,0,0,16,1,1,2,1,1,6,0,1
512,3,20,1,1,1,1,0,0,0,0,0,16,1,2,2,1,1,6,0,0
514,1,50,1,1,1,1,0,0,0,0,0,16,1,1,2,1,1,6,0,1
515,2,45,1,1,2,0,0,0,0,0,0,16,1,2,2,1,1,6,0,0
516,3,25,1,1,1,1,0,0,0,0,0,10,1,1,2,1,1,6,0,1
518,3,18,1,1,1,0,0,1,0,0,0,10,1,2,2,2,1,2,0,0
519,1,48,1,3,1,0,0,1,0,0,0,16,1,2,2,1,1,2,1,0
520,3,20,1,3,2,0,0,0,0,0,0,16,1,2,2,1,1,2,0,1
534,1,54,1,3,2,0,0,0,0,0,0,10,1,1,1,1,1,2,0,1
535,2,50,1,3,2,0,0,0,0,0,0,7,1,2,2,1,1,2,0,0
536,3,22,1,3,1,0,0,0,1,0,1,14,1,2,2,1,1,2,0,0
541,1,55,1,3,2,0,0,0,0,0,0,16,1,1,1,1,1,2,0,1
543,3,31,1,3,2,0,0,0,0,0,0,10,1,1,2,1,1,2,0,1
565,1,40,1,4,1,0,1,1,1,0,0,10,1,1,1,1,1,2,0,1
581,1,35,1,4,1,0,0,0,1,0,1,12,1,1,1,1,1,2,0,1
585,1,35,1,4,2,0,0,0,0,0,0,10,1,1,2,1,1,2,0,1
586,2,28,1,4,2,0,0,0,0,0,0,11,1,2,2,1,1,2,1,0
